,안전시설명,소재지도로명주소,소재지지번주소,위도,경도,현존주소여부
528,중흥마트 나들가게,경기도 남양주시 의안로 182,경기도 남양주시 평내동 608 중흥상가,37.644862305,127.2429468813,S
529,한아름마트,,경기도 남양주시 평내동 87-3,37.648871633,127.2420654949,S
530,모란꽃집,경기도 남양주시 호평로45번길 42,경기도 남양주시 호평동 176-5,37.6590852453,127.2470133834,S
531,파리바게뜨(호평),경기도 남양주시 천마산로 2,경기도 남양주시 호평동 269-1,37.6620816694,127.2488739869,S
532,천마산손두부,경기도 남양주시 천마산로 113,경기도 남양주시 호평동 344-2,37.670640529,127.2513057797,S
533,GS25(천마산점),,경기도 남양주시 호평동 371번지 라인그린아파트,37.6682441228,127.2476059397,S
534,아리엔(일식당),경기도 남양주시 천마산로 64,경기도 남양주시 호평동 386-4,37.6671911388,127.2483465268,S
535,천마마트,경기도 남양주시 천마산로 14,경기도 남양주시 호평동 405-15,37.6631530233,127.2482921308,S
536,첨단주유소,경기도 남양주시 늘을1로 59,경기도 남양주시 호평동 551-1,37.6574910009,127.2392527337,S
537,우리농수산할인마트,경기도 남양주시 늘을3로 65-12,경기도 남양주시 호평동 617-1,37.6602408212,127.2478824674,S
538,CU편의점(남양주호평점),경기도 남양주시 호평로60번길 9,경기도 남양주시 호평동 649-9,37.6551009607,127.2468455107,S
