연번,위도,경도,보호구역아이디,시군구명,대상시설명,관할경찰서명,데이터기준일자
220,37.360387,127.115013,성남-01-013,성남시 분당구,탄천초등학교,분당경찰서,2022-08-17
221,37.360878,127.114831,성남-01-013,성남시 분당구,탄천초등학교,분당경찰서,2022-08-17
222,37.360901,127.115012,성남-01-013,성남시 분당구,탄천초등학교,분당경찰서,2022-08-17
223,37.361403,127.115012,성남-01-013,성남시 분당구,탄천초등학교,분당경찰서,2022-08-17
224,37.361547,127.114649,성남-01-013,성남시 분당구,탄천초등학교,분당경찰서,2022-08-17
225,37.361898,127.115011,성남-01-013,성남시 분당구,탄천초등학교,분당경찰서,2022-08-17
226,37.361962,127.114641,성남-01-013,성남시 분당구,탄천초등학교,분당경찰서,2022-08-17
227,37.362387,127.114831,성남-01-013,성남시 분당구,탄천초등학교,분당경찰서,2022-08-17
228,37.362374,127.114997,성남-01-013,성남시 분당구,탄천초등학교,분당경찰서,2022-08-17
229,37.362604,127.115001,성남-01-013,성남시 분당구,탄천초등학교,분당경찰서,2022-08-17
230,37.362755,127.115001,성남-01-013,성남시 분당구,탄천초등학교,분당경찰서,2022-08-17
231,37.363107,127.114634,성남-01-013,성남시 분당구,탄천초등학교,분당경찰서,2022-08-17
232,37.363088,127.115005,성남-01-013,성남시 분당구,탄천초등학교,분당경찰서,2022-08-17
233,37.405284,127.126938,성남-01-014,성남시 분당구,하탑초등학교,분당경찰서,2022-08-31
234,37.405291,127.126633,성남-01-014,성남시 분당구,하탑초등학교,분당경찰서,2022-08-31
235,37.405287,127.126399,성남-01-014,성남시 분당구,하탑초등학교,분당경찰서,2022-08-31
236,37.405287,127.125936,성남-01-014,성남시 분당구,하탑초등학교,분당경찰서,2022-08-31
237,37.405693,127.125311,성남-01-014,성남시 분당구,하탑초등학교,분당경찰서,2022-08-31
238,37.405752,127.125584,성남-01-014,성남시 분당구,하탑초등학교,분당경찰서,2022-08-31
239,37.405941,127.125446,성남-01-014,성남시 분당구,하탑초등학교,분당경찰서,2022-08-31
240,37.406191,127.125571,성남-01-014,성남시 분당구,하탑초등학교,분당경찰서,2022-08-31
241,37.406756,127.125557,성남-01-014,성남시 분당구,하탑초등학교,분당경찰서,2022-08-31
242,37.407026,127.125555,성남-01-014,성남시 분당구,하탑초등학교,분당경찰서,2022-08-31
243,37.407207,127.125276,성남-01-014,성남시 분당구,하탑초등학교,분당경찰서,2022-08-31
244,37.407322,127.125547,성남-01-014,성남시 분당구,하탑초등학교,분당경찰서,2022-08-31
245,37.407291,127.125276,성남-01-014,성남시 분당구,하탑초등학교,분당경찰서,2022-08-31
246,37.407721,127.125528,성남-01-014,성남시 분당구,하탑초등학교,분당경찰서,2022-08-31
247,37.408699,127.125264,성남-01-014,성남시 분당구,하탑초등학교,분당경찰서,2022-08-31
248,37.356908,127.106109,성남-01-015,성남시 분당구,늘푸른초등학교,분당경찰서,2022-08-25
249,37.357399,127.106109,성남-01-015,성남시 분당구,늘푸른초등학교,분당경찰서,2022-08-25
250,37.357998,127.106109,성남-01-015,성남시 분당구,늘푸른초등학교,분당경찰서,2022-08-25
251,37.361042,127.105862,성남-01-015,성남시 분당구,늘푸른초등학교,분당경찰서,2022-08-25
252,37.360314,127.105862,성남-01-015,성남시 분당구,늘푸른초등학교,분당경찰서,2022-08-25
253,37.359508,127.105871,성남-01-015,성남시 분당구,늘푸른초등학교,분당경찰서,2022-08-25
254,37.359215,127.105871,성남-01-015,성남시 분당구,늘푸른초등학교,분당경찰서,2022-08-25
255,37.358983,127.105871,성남-01-015,성남시 분당구,늘푸른초등학교,분당경찰서,2022-08-25
256,37.359073,127.105987,성남-01-015,성남시 분당구,늘푸른초등학교,분당경찰서,2022-08-25
257,37.358627,127.105876,성남-01-015,성남시 분당구,늘푸른초등학교,분당경찰서,2022-08-25
258,37.358641,127.105987,성남-01-015,성남시 분당구,늘푸른초등학교,분당경찰서,2022-08-25
259,37.358441,127.105876,성남-01-015,성남시 분당구,늘푸른초등학교,분당경찰서,2022-08-25
260,37.358053,127.105881,성남-01-015,성남시 분당구,늘푸른초등학교,분당경찰서,2022-08-25
261,37.357721,127.105881,성남-01-015,성남시 분당구,늘푸른초등학교,분당경찰서,2022-08-25
262,37.357399,127.105886,성남-01-015,성남시 분당구,늘푸른초등학교,분당경찰서,2022-08-25
263,37.357093,127.105886,성남-01-015,성남시 분당구,늘푸른초등학교,분당경찰서,2022-08-25
264,37.356868,127.105886,성남-01-015,성남시 분당구,늘푸른초등학교,분당경찰서,2022-08-25
265,37.396547,127.117016,성남-01-016,성남시 분당구,보평초등학교,분당경찰서,2022-07-27
266,37.396831,127.117016,성남-01-016,성남시 분당구,보평초등학교,분당경찰서,2022-07-27
267,37.396155,127.118314,성남-01-016,성남시 분당구,보평초등학교,분당경찰서,2022-07-27
268,37.396615,127.116633,성남-01-016,성남시 분당구,보평초등학교,분당경찰서,2022-07-27
269,37.395579,127.117015,성남-01-016,성남시 분당구,보평초등학교,분당경찰서,2022-07-27
270,37.396159,127.117469,성남-01-016,성남시 분당구,보평초등학교,분당경찰서,2022-07-27
271,37.396283,127.117469,성남-01-016,성남시 분당구,보평초등학교,분당경찰서,2022-07-27
272,37.396073,127.118372,성남-01-016,성남시 분당구,보평초등학교,분당경찰서,2022-07-27
273,37.395985,127.118372,성남-01-016,성남시 분당구,보평초등학교,분당경찰서,2022-07-27
274,37.395312,127.118372,성남-01-016,성남시 분당구,보평초등학교,분당경찰서,2022-07-27
